y0,y1,x0,x1,n,median,scatter,slope,score
120,150,6,14,20,0.2740,0.5697,-1.6755,1.1319
120,150,12,20,20,0.3807,0.6412,-1.9885,1.0605
120,150,18,26,20,0.3913,0.5964,-1.8445,1.0040
120,150,24,32,21,0.3248,0.6274,-1.9180,1.1158
120,150,30,38,21,0.2983,0.6076,-1.9120,1.1329
120,150,36,44,20,0.3048,0.5741,-1.8985,1.0902
120,150,42,50,21,0.2914,0.6399,-2.0083,1.1754
135,165,6,14,20,0.3031,0.5148,-1.4472,1.0333
135,165,12,20,20,0.3010,0.5297,-1.5529,1.0512
135,165,18,26,21,0.2950,0.5034,-1.4997,1.0337
135,165,24,32,21,0.3141,0.5079,-1.4996,1.0108
135,165,30,38,21,0.2734,0.4771,-1.3412,1.0403
135,165,36,44,20,0.2954,0.4809,-1.4981,1.0105
135,165,42,50,21,0.2880,0.5291,-1.7217,1.0698
150,180,6,14,21,0.3695,0.4577,-1.3018,0.8901
150,180,12,20,20,0.3330,0.4253,-1.1526,0.9028
150,180,18,26,20,0.3040,0.3874,-1.1085,0.9045
150,180,24,32,21,0.2963,3.4704,-7.2339,3.9987
150,180,30,38,21,0.3094,0.4198,-1.1772,0.9294
150,180,36,44,20,0.3716,0.4550,-1.3081,0.8849
150,180,42,50,21,0.3780,0.4310,-1.2392,0.8535
165,195,6,14,21,0.4450,0.4318,-1.2842,0.7835
165,195,12,20,21,0.3454,0.3591,-0.9008,0.8208
165,195,18,26,21,0.3844,0.3304,-0.5221,0.7457
165,195,24,32,21,0.3970,0.3123,-0.6366,0.7136
165,195,30,38,21,0.4236,0.3015,-0.5237,0.6745
165,195,36,44,21,0.4470,0.3192,-0.5972,0.6689
165,195,42,50,21,0.5004,0.4005,-1.0299,0.7012
180,210,6,14,21,0.5176,0.4370,-1.4224,0.7230
180,210,12,20,21,0.4248,0.3121,-0.7604,0.6839
180,210,18,26,21,0.5128,0.2924,-0.4592,0.5824
180,210,24,32,21,0.5615,0.2792,-0.2186,0.5299
180,210,30,38,21,0.6378,0.2727,-0.3455,0.4680
180,210,36,44,21,0.6825,0.3126,-0.5624,0.4785
180,210,42,50,21,0.6733,3.5250,-7.2298,3.6968
195,225,6,14,21,0.5007,3.5139,-7.5440,3.8143
