# EIS post-launch calibration factors for 2011-07-02T03:38:08
# I_corrected = I_preflight * factor
# columns: wavelength[A]  NRL_Warren2014  DelZanna2013
   170.00   1.039522e+00   3.493799e+00
   170.10   9.848201e-01   3.265264e+00
   170.20   9.206195e-01   3.008985e+00
   170.30   8.526543e-01   2.741373e+00
   170.40   7.856066e-01   2.476743e+00
   170.50   7.230121e-01   2.227330e+00
   170.60   6.673669e-01   2.003343e+00
   170.70   6.203414e-01   1.813041e+00
   170.80   5.830610e-01   1.662839e+00
   170.90   5.563949e-01   1.557442e+00
   171.00   5.412632e-01   1.500000e+00
   171.10   5.502729e-01   1.525985e+00
   171.20   5.697980e-01   1.582075e+00
   171.30   5.990269e-01   1.659543e+00
   171.40   6.373274e-01   1.750617e+00
   171.50   6.840347e-01   1.848412e+00
   171.60   7.382464e-01   1.946915e+00
   171.70   7.986212e-01   2.040976e+00
   171.80   8.631871e-01   2.126311e+00
   171.90   9.291854e-01   2.199488e+00
   172.00   9.929813e-01   2.257900e+00
   172.10   1.038425e+00   2.309082e+00
   172.20   1.081542e+00   2.354328e+00
   172.30   1.121863e+00   2.391452e+00
   172.40   1.158935e+00   2.418768e+00
   172.50   1.192325e+00   2.435063e+00
   172.60   1.221634e+00   2.439557e+00
   172.70   1.246500e+00   2.431864e+00
   172.80   1.266610e+00   2.411942e+00
   172.90   1.281699e+00   2.380044e+00
   173.00   1.291565e+00   2.336664e+00
   173.10   1.297610e+00   2.279396e+00
   173.20   1.297369e+00   2.215044e+00
   173.30   1.291751e+00   2.147043e+00
   173.40   1.281723e+00   2.078125e+00
   173.50   1.268277e+00   2.010413e+00
   173.60   1.252401e+00   1.945524e+00
   173.70   1.235054e+00   1.884664e+00
   173.80   1.217156e+00   1.828712e+00
   173.90   1.199579e+00   1.778297e+00
   174.00   1.183145e+00   1.733855e+00
   174.10   1.170698e+00   1.696303e+00
   174.20   1.158220e+00   1.661460e+00
   174.30   1.145960e+00   1.629659e+00
   174.40   1.134160e+00   1.601175e+00
   174.50   1.123046e+00   1.576237e+00
   174.60   1.112842e+00   1.555023e+00
   174.70   1.103760e+00   1.537671e+00
   174.80   1.096010e+00   1.524280e+00
   174.90   1.089797e+00   1.514913e+00
   175.00   1.085330e+00   1.509600e+00
   175.10   1.082417e+00   1.510296e+00
   175.20   1.081154e+00   1.514230e+00
   175.30   1.081390e+00   1.520558e+00
   175.40   1.082978e+00   1.528509e+00
   175.50   1.085778e+00   1.537379e+00
   175.60   1.089652e+00   1.546522e+00
   175.70   1.094462e+00   1.555354e+00
   175.80   1.100073e+00   1.563357e+00
   175.90   1.106345e+00   1.570087e+00
   176.00   1.113139e+00   1.575178e+00
   176.10   1.119429e+00   1.578371e+00
   176.20   1.126590e+00   1.580843e+00
   176.30   1.134471e+00   1.582500e+00
   176.40   1.142918e+00   1.583279e+00
   176.50   1.151770e+00   1.583141e+00
   176.60   1.160866e+00   1.582069e+00
   176.70   1.170036e+00   1.580066e+00
   176.80   1.179105e+00   1.577151e+00
   176.90   1.187894e+00   1.573360e+00
   177.00   1.196219e+00   1.568735e+00
   177.10   1.203748e+00   1.562348e+00
   177.20   1.211045e+00   1.555330e+00
   177.30   1.218053e+00   1.548074e+00
   177.40   1.224715e+00   1.540901e+00
   177.50   1.230973e+00   1.534071e+00
   177.60   1.236767e+00   1.527792e+00
   177.70   1.242038e+00   1.522227e+00
   177.80   1.246727e+00   1.517499e+00
   177.90   1.250774e+00   1.513704e+00
   178.00   1.254118e+00   1.510911e+00
   178.10   1.257131e+00   1.510927e+00
   178.20   1.259466e+00   1.511609e+00
   178.30   1.261168e+00   1.512680e+00
   178.40   1.262278e+00   1.513899e+00
   178.50   1.262845e+00   1.515059e+00
   178.60   1.262915e+00   1.515982e+00
   178.70   1.262534e+00   1.516517e+00
   178.80   1.261750e+00   1.516539e+00
   178.90   1.260612e+00   1.515945e+00
   179.00   1.259168e+00   1.514656e+00
   179.10   1.258149e+00   1.512819e+00
   179.20   1.256769e+00   1.510588e+00
   179.30   1.255064e+00   1.508008e+00
   179.40   1.253069e+00   1.505120e+00
   179.50   1.250817e+00   1.501964e+00
   179.60   1.248343e+00   1.498577e+00
   179.70   1.245681e+00   1.494996e+00
   179.80   1.242866e+00   1.491252e+00
   179.90   1.239931e+00   1.487377e+00
   180.00   1.236909e+00   1.483400e+00
   180.10   1.234241e+00   1.480101e+00
   180.20   1.231458e+00   1.476705e+00
   180.30   1.228581e+00   1.473217e+00
   180.40   1.225637e+00   1.469643e+00
   180.50   1.222648e+00   1.465991e+00
   180.60   1.219637e+00   1.462267e+00
   180.70   1.216627e+00   1.458482e+00
   180.80   1.213642e+00   1.454645e+00
   180.90   1.210703e+00   1.450765e+00
   181.00   1.207833e+00   1.446852e+00
   181.10   1.205468e+00   1.443516e+00
   181.20   1.203175e+00   1.440163e+00
   181.30   1.200940e+00   1.436786e+00
   181.40   1.198749e+00   1.433378e+00
   181.50   1.196588e+00   1.429937e+00
   181.60   1.194444e+00   1.426460e+00
   181.70   1.192302e+00   1.422946e+00
   181.80   1.190150e+00   1.419396e+00
   181.90   1.187974e+00   1.415812e+00
   182.00   1.185760e+00   1.412194e+00
   182.10   1.183924e+00   1.408767e+00
   182.20   1.182086e+00   1.405314e+00
   182.30   1.180227e+00   1.401864e+00
   182.40   1.178326e+00   1.398446e+00
   182.50   1.176365e+00   1.395081e+00
   182.60   1.174326e+00   1.391789e+00
   182.70   1.172188e+00   1.388587e+00
   182.80   1.169935e+00   1.385489e+00
   182.90   1.167547e+00   1.382507e+00
   183.00   1.165007e+00   1.379648e+00
   183.10   1.162907e+00   1.376925e+00
   183.20   1.160698e+00   1.374275e+00
   183.30   1.158361e+00   1.371722e+00
   183.40   1.155873e+00   1.369287e+00
   183.50   1.153215e+00   1.366987e+00
   183.60   1.150366e+00   1.364837e+00
   183.70   1.147306e+00   1.362848e+00
   183.80   1.144016e+00   1.361030e+00
   183.90   1.140476e+00   1.359389e+00
   184.00   1.136668e+00   1.357933e+00
   184.10   1.133172e+00   1.356191e+00
   184.20   1.129429e+00   1.354553e+00
   184.30   1.125449e+00   1.353071e+00
   184.40   1.121240e+00   1.351791e+00
   184.50   1.116809e+00   1.350752e+00
   184.60   1.112169e+00   1.349991e+00
   184.70   1.107325e+00   1.349536e+00
   184.80   1.102288e+00   1.349414e+00
   184.90   1.097067e+00   1.349650e+00
   185.00   1.091671e+00   1.350262e+00
   185.10   1.086719e+00   1.350774e+00
   185.20   1.081578e+00   1.351559e+00
   185.30   1.076264e+00   1.352624e+00
   185.40   1.070794e+00   1.353973e+00
   185.50   1.065185e+00   1.355610e+00
   185.60   1.059453e+00   1.357539e+00
   185.70   1.053615e+00   1.359764e+00
   185.80   1.047687e+00   1.362287e+00
   185.90   1.041683e+00   1.365112e+00
   186.00   1.035621e+00   1.368241e+00
   186.10   1.030126e+00   1.371140e+00
   186.20   1.024563e+00   1.374308e+00
   186.30   1.018932e+00   1.377727e+00
   186.40   1.013233e+00   1.381382e+00
   186.50   1.007466e+00   1.385260e+00
   186.60   1.001632e+00   1.389349e+00
   186.70   9.957331e-01   1.393637e+00
   186.80   9.897689e-01   1.398116e+00
   186.90   9.837402e-01   1.402776e+00
   187.00   9.776483e-01   1.407609e+00
   187.10   9.719687e-01   1.415055e+00
   187.20   9.662254e-01   1.423003e+00
   187.30   9.604267e-01   1.431048e+00
   187.40   9.545804e-01   1.438797e+00
   187.50   9.486943e-01   1.445874e+00
   187.60   9.427764e-01   1.451916e+00
   187.70   9.368334e-01   1.456579e+00
   187.80   9.308736e-01   1.459543e+00
   187.90   9.249039e-01   1.460515e+00
   188.00   9.189313e-01   1.459237e+00
   188.10   9.133908e-01   1.455981e+00
   188.20   9.078375e-01   1.450998e+00
   188.30   9.022803e-01   1.444491e+00
   188.40   8.967280e-01   1.436654e+00
   188.50   8.911891e-01   1.427675e+00
   188.60   8.856720e-01   1.417730e+00
   188.70   8.801849e-01   1.406983e+00
   188.80   8.747359e-01   1.395586e+00
   188.90   8.693327e-01   1.383677e+00
   189.00   8.639832e-01   1.371381e+00
   189.10   8.590537e-01   1.358710e+00
   189.20   8.541659e-01   1.345436e+00
   189.30   8.493260e-01   1.331893e+00
   189.40   8.445402e-01   1.318376e+00
   189.50   8.398151e-01   1.305142e+00
   189.60   8.351563e-01   1.292412e+00
   189.70   8.305701e-01   1.280377e+00
   189.80   8.260621e-01   1.269204e+00
   189.90   8.216383e-01   1.259036e+00
   190.00   8.173042e-01   1.250000e+00
   190.10   8.134101e-01   1.243398e+00
   190.20   8.096017e-01   1.237632e+00
   190.30   8.058773e-01   1.232533e+00
   190.40   8.022355e-01   1.227948e+00
   190.50   7.986748e-01   1.223738e+00
   190.60   7.951938e-01   1.219771e+00
   190.70   7.917912e-01   1.215927e+00
   190.80   7.884658e-01   1.212096e+00
   190.90   7.852164e-01   1.208174e+00
   191.00   7.820418e-01   1.204062e+00
   191.10   7.792333e-01   1.199954e+00
   191.20   7.765022e-01   1.195835e+00
   191.30   7.738507e-01   1.191643e+00
   191.40   7.712812e-01   1.187319e+00
   191.50   7.687957e-01   1.182809e+00
   191.60   7.663965e-01   1.178063e+00
   191.70   7.640860e-01   1.173035e+00
   191.80   7.618666e-01   1.167683e+00
   191.90   7.597406e-01   1.161967e+00
   192.00   7.577103e-01   1.155854e+00
   192.10   7.560638e-01   1.149066e+00
   192.20   7.545131e-01   1.141897e+00
   192.30   7.530621e-01   1.134470e+00
   192.40   7.517145e-01   1.126901e+00
   192.50   7.504746e-01   1.119295e+00
   192.60   7.493459e-01   1.111749e+00
   192.70   7.483327e-01   1.104349e+00
   192.80   7.474393e-01   1.097177e+00
   192.90   7.466695e-01   1.090305e+00
   193.00   7.460278e-01   1.083800e+00
   193.10   7.458751e-01   1.077975e+00
   193.20   7.458636e-01   1.072380e+00
   193.30   7.459866e-01   1.067011e+00
   193.40   7.462378e-01   1.061863e+00
   193.50   7.466103e-01   1.056931e+00
   193.60   7.470980e-01   1.052211e+00
   193.70   7.476945e-01   1.047697e+00
   193.80   7.483937e-01   1.043386e+00
   193.90   7.491893e-01   1.039273e+00
   194.00   7.500753e-01   1.035353e+00
   194.10   7.514547e-01   1.031076e+00
   194.20   7.529553e-01   1.026932e+00
   194.30   7.545694e-01   1.022966e+00
   194.40   7.562894e-01   1.019221e+00
   194.50   7.581079e-01   1.015737e+00
   194.60   7.600175e-01   1.012554e+00
   194.70   7.620103e-01   1.009709e+00
   194.80   7.640790e-01   1.007240e+00
   194.90   7.662161e-01   1.005183e+00
   195.00   7.684141e-01   1.003576e+00
   195.10   7.712321e-01   1.001397e+00
   195.20   7.741534e-01   9.995223e-01
   195.30   7.771661e-01   9.980350e-01
   195.40   7.802582e-01   9.970189e-01
   195.50   7.834178e-01   9.965585e-01
   195.60   7.866324e-01   9.967402e-01
   195.70   7.898897e-01   9.976541e-01
   195.80   7.931772e-01   9.993959e-01
   195.90   7.964825e-01   1.002068e+00
   196.00   7.997924e-01   1.005785e+00
   196.10   8.039143e-01   1.011441e+00
   196.20   8.081050e-01   1.018381e+00
   196.30   8.123415e-01   1.026422e+00
   196.40   8.166006e-01   1.035373e+00
   196.50   8.208590e-01   1.045038e+00
   196.60   8.250926e-01   1.055207e+00
   196.70   8.292769e-01   1.065652e+00
   196.80   8.333871e-01   1.076123e+00
