ion,wvl,ngauss,npoly,wmin,wmax,cen0,cen1,cen2,wid0,iobs,sigma
Si_VII,275.368,1,1,275.1680,275.4500,275.3652,0.0000,0.0000,0.03065,66.85,14.76
Fe_IX,188.497,1,1,188.3900,188.5900,188.4852,0.0000,0.0000,0.03136,71.23,15.74
Fe_IX,197.862,1,1,197.6800,197.9500,197.8542,0.0000,0.0000,0.03632,39.80,8.79
Fe_X,184.536,1,1,184.4900,184.7100,184.5385,0.0000,0.0000,0.02647,258.70,57.04
Fe_XI,180.401,1,1,180.2010,180.5500,180.4042,0.0000,0.0000,0.02951,795.27,175.33
Fe_XI,188.216,2,1,188.0160,188.3900,188.2168,188.3032,0.0000,0.02867,498.81,109.77
S_X,264.233,1,1,264.0330,264.3100,264.2337,0.0000,0.0000,0.03411,55.27,12.22
Si_X,258.375,1,1,258.2500,258.5400,258.3727,0.0000,0.0000,0.03296,213.53,47.05
Fe_XII,192.394,1,1,192.2400,192.5800,192.3919,0.0000,0.0000,0.02900,357.50,78.67
Fe_XII,195.119,2,1,194.9600,195.2500,195.1179,195.1779,0.0000,0.02889,1147.35,252.44
Fe_XIII,202.044,1,1,201.9000,202.2440,202.0451,0.0000,0.0000,0.02934,1076.80,236.95
Fe_XIII,203.826,2,1,203.5400,204.0300,203.7305,203.8249,0.0000,0.03238,1839.12,404.73
Fe_XIV,264.787,1,1,264.6300,264.9100,264.7856,0.0000,0.0000,0.03256,653.64,143.84
Fe_XIV,270.519,2,1,270.2500,270.7190,270.3923,270.5191,0.0000,0.03288,336.02,73.95
Fe_XV,284.160,1,1,284.1000,284.3600,284.1615,0.0000,0.0000,0.03469,5931.55,1305.03
S_XIII,256.686,1,1,256.4860,256.8300,256.6800,0.0000,0.0000,0.03536,462.30,101.78
Fe_XVI,262.984,1,1,262.7840,263.1000,262.9824,0.0000,0.0000,0.03410,630.81,138.82
Ar_XIV,194.396,2,1,194.2000,194.5500,194.3027,194.4051,0.0000,0.03243,62.34,13.74
Ca_XIV,193.874,2,1,193.6000,194.0000,193.7175,193.8727,0.0000,0.02955,182.64,40.21
Ca_XV,200.972,2,1,200.8100,201.2800,200.9878,201.1187,0.0000,0.03754,127.92,28.21
Ca_XVI,208.604,2,1,208.4040,208.9400,208.5980,208.7140,0.0000,0.04599,31.12,7.86
Ca_XVII,192.858,1,1,192.7000,193.2000,192.8458,0.0000,0.0000,0.04915,41.75,9.35
