ion,wvl,ngauss,icomp,npix,I_idl,eI_idl,cen_fit,wid_fit,chi2red,I_paper,sig_paper,ratio
Si_VII, 275.368,1,0,184, 2.56229e+01, 6.69422e-01, 275.3770, 0.03206,     3.488,    66.85,   14.76,   0.383
Fe_IX, 188.497,1,0,184, 4.95373e+01, 9.24328e-01, 188.4759, 0.02610,    67.050,    71.23,   15.74,   0.695
Fe_IX, 197.862,1,0,184, 2.97898e+01, 4.72600e-01, 197.8468, 0.03300,    26.471,    39.80,    8.79,   0.748
Fe_X, 184.536,1,0,184, 2.24550e+02, 2.45082e+00, 184.5239, 0.02674,    11.516,   258.70,   57.04,   0.868
Fe_XI, 180.401,1,0,184, 7.97998e+02, 8.02552e+00, 180.3869, 0.02855,    10.755,   795.27,  175.33,   1.003
Fe_XI, 188.216,2,0,184, 4.99796e+02, 1.88533e+00, 188.2028, 0.02767,   116.570,   498.81,  109.77,   1.002
S_X, 264.233,1,0,184, 5.12970e+01, 8.89225e-01, 264.2420, 0.03198,     4.028,    55.27,   12.22,   0.928
Si_X, 258.375,1,0,184, 2.22304e+02, 1.82768e+00, 258.3824, 0.03287,     7.423,   213.53,   47.05,   1.041
Fe_XII, 192.394,1,0,184, 3.90679e+02, 1.28494e+00, 192.3811, 0.02816,   191.917,   357.50,   78.67,   1.093
Fe_XII, 195.119,2,0,184, 1.23632e+03, 2.71037e+00, 195.1094, 0.03060,   982.573,  1147.35,  252.44,   1.078
Fe_XIII, 202.044,1,0,184, 1.15613e+03, 3.63967e+00, 202.0339, 0.02844,    50.403,  1076.80,  236.95,   1.074
Fe_XIII, 203.826,2,1,184, 2.02304e+03, 5.59041e+00, 203.8138, 0.03211,    23.998,  1839.12,  404.73,   1.100
Fe_XIV, 264.787,1,0,184, 5.82314e+02, 2.19132e+00, 264.7944, 0.03105,    61.211,   653.64,  143.84,   0.891
Fe_XIV, 270.519,2,1,184, 3.10648e+02, 1.17914e+00, 270.5285, 0.03141,    18.698,   336.02,   73.95,   0.924
Fe_XV, 284.160,1,0,184, 5.18420e+03, 9.82118e+00, 284.1678, 0.03436,   219.136,  5931.55, 1305.03,   0.874
S_XIII, 256.686,1,0,184, 3.09715e+02, 2.31355e+00, 256.6898, 0.03428,     7.987,   462.30,  101.78,   0.670
Fe_XVI, 262.984,1,0,184, 3.76049e+02, 1.90797e+00, 262.9906, 0.03235,    25.677,   630.81,  138.82,   0.596
Ar_XIV, 194.396,2,1,184, 5.99223e+01, 4.28141e-01, 194.4005, 0.02914,    79.039,    62.34,   13.74,   0.961
Ca_XIV, 193.874,2,1,184, 1.83947e+02, 6.83911e-01, 193.8645, 0.02844,    48.620,   182.64,   40.21,   1.007
Ca_XV, 200.972,2,0,184, 1.16699e+02, 7.91545e-01, 200.9789, 0.03121,    30.823,   127.92,   28.21,   0.912
Ca_XVI, 208.604,2,0,184, 5.56824e+01, 6.43285e+00, 208.5963, 0.05000,     3.265,    31.12,    7.86,   1.789
Ca_XVII, 192.858,1,0,184, 2.09288e+02, 6.99968e-01, 192.8182, 0.05000,  1314.404,    41.75,    9.35,   5.013
