y0,y1,x0,x1,Si_VII_275.368,Fe_IX_188.497,Fe_IX_197.862,Fe_X_184.536,Fe_XI_180.401,Fe_XI_188.216,S_X_264.233,Si_X_258.375,Fe_XII_192.394,Fe_XII_195.119,Fe_XIII_202.044,Fe_XIII_203.826,Fe_XIV_264.787,Fe_XIV_270.519,Fe_XV_284.160,S_XIII_256.686,Fe_XVI_262.984,Ar_XIV_194.396,Ca_XIV_193.874,Ca_XV_200.972,Ca_XVI_208.604,Ca_XVII_192.858
120,140,4,10,0.1169,0.2386,0.3261,0.3539,0.5436,0.5016,0.4974,0.3077,0.5505,0.6057,0.7713,0.2817,0.2021,0.2457,0.1742,0.1097,0.0486,0.0226,0.0064,0.0291,0.0000,1.6432
120,140,12,18,0.1543,0.4910,0.6120,0.6452,0.8687,0.8372,0.6152,0.4118,0.8048,0.8566,0.8975,0.3721,0.2220,0.2631,0.1764,0.0920,0.0417,0.0182,0.0024,0.0345,0.0000,2.8669
120,140,20,26,0.1824,0.4417,0.4919,0.5570,0.8128,0.7648,0.6501,0.4314,0.7798,0.8221,0.8825,0.3953,0.2740,0.3212,0.2153,0.1386,0.0603,0.0200,0.0031,0.0426,0.0000,2.7369
120,140,28,34,0.1993,0.4145,0.5031,0.5114,0.6960,0.6621,0.6238,0.3928,0.6130,0.6647,0.7279,0.2472,0.2628,0.3150,0.2228,0.1355,0.0622,0.0133,0.0017,0.0430,0.0477,2.2483
120,140,36,42,0.2566,0.3931,0.4964,0.5126,0.6951,0.6479,0.5905,0.4097,0.5674,0.6234,0.6772,0.2166,0.2186,0.2580,0.1898,0.1219,0.0570,0.0176,0.0024,0.0361,0.0000,2.2213
120,140,44,50,0.3176,0.3124,0.3940,0.4243,0.6067,0.5583,0.5288,0.3913,0.5207,0.5701,0.6323,0.2025,0.1830,0.2121,0.1450,0.0838,0.0402,0.0126,0.0033,0.0372,0.0000,1.8651
140,160,4,10,0.1376,0.2102,0.2739,0.3130,0.4647,0.4239,0.7151,0.4863,0.4548,0.5179,0.7006,0.2251,0.2931,0.3510,0.2412,0.1379,0.0704,0.0179,0.0092,0.0268,0.0000,1.3999
140,160,12,18,0.1694,0.2434,0.3224,0.3848,0.5462,0.5116,0.6961,0.4485,0.5192,0.5809,0.7371,0.2476,0.2761,0.3277,0.2576,0.1805,0.0875,0.0149,0.0079,0.0359,0.0000,1.6918
140,160,20,26,0.2412,0.2501,0.3511,0.3763,0.5551,0.5226,0.6554,0.4249,0.5577,0.6133,0.7685,0.2912,0.2519,0.3004,0.2533,0.1931,0.0936,0.0189,0.0148,0.0345,0.0502,1.7577
140,160,28,34,0.1729,0.2483,0.3563,0.3927,0.5650,0.5152,0.6914,0.4348,0.5428,0.5986,0.7552,0.2833,0.2627,0.3097,0.2544,0.2069,0.0973,0.0230,0.0155,0.0481,0.0046,1.7172
140,160,36,42,0.1527,0.3184,0.4295,0.4210,0.5814,0.5406,0.6012,0.3854,0.5274,0.5848,0.6894,0.2358,0.2276,0.2677,0.2281,0.1638,0.0808,0.0217,0.0170,0.0369,0.0000,1.8318
140,160,44,50,0.2085,0.4261,0.5523,0.4976,0.6252,0.5693,0.5963,0.4099,0.5093,0.5745,0.6475,0.2099,0.2445,0.2890,0.2418,0.1771,0.0894,0.0187,0.0088,0.0430,0.0000,1.8820
160,180,4,10,0.5459,0.3192,0.4106,0.4561,0.6833,0.6650,1.1219,0.9405,0.7306,0.7701,0.9468,0.3923,0.4932,0.5518,0.3655,0.2205,0.1291,0.0272,0.0250,0.0644,0.1623,2.1989
160,180,12,18,0.1763,0.2689,0.3853,0.4236,0.6261,0.5852,0.6451,0.4639,0.6131,0.6478,0.8218,0.3109,0.3197,0.3637,0.3331,0.2723,0.1416,0.0282,0.0384,0.0660,0.1454,1.9735
160,180,20,26,0.1277,0.3342,0.4560,0.4437,0.6031,0.5519,0.4481,0.3393,0.5313,0.5625,0.7115,0.2434,0.2451,0.2804,0.2980,0.2606,0.1392,0.0557,0.0368,0.0590,0.0000,1.9729
160,180,28,34,0.1724,0.2963,0.3953,0.4424,0.6012,0.5528,0.4935,0.3673,0.5427,0.5648,0.6972,0.2521,0.2643,0.3065,0.3465,0.2599,0.1649,0.0285,0.0424,0.0666,0.1228,1.8916
160,180,36,42,0.1948,0.2580,0.3552,0.4007,0.5823,0.5341,0.5647,0.4335,0.5243,0.5532,0.6805,0.2360,0.3501,0.4053,0.4331,0.3391,0.2095,0.0454,0.0415,0.0633,0.0540,1.7658
160,180,44,50,0.2181,0.3132,0.4316,0.4508,0.6166,0.5763,0.7176,0.5668,0.5619,0.5913,0.7254,0.2751,0.4144,0.4785,0.4311,0.3370,0.1847,0.0305,0.0414,0.0706,0.1099,1.9033
180,200,4,10,0.4011,0.8190,0.9742,0.9781,1.1408,1.1518,1.0101,0.8870,1.1279,1.1380,1.1833,0.6790,0.4611,0.5057,0.3692,0.2701,0.1638,0.0435,0.0263,0.0762,0.1481,3.9306
180,200,12,18,0.2352,0.2829,0.4035,0.4540,0.6220,0.5975,0.5750,0.5292,0.5825,0.6327,0.7656,0.3018,0.3406,0.3942,0.3754,0.2659,0.1974,0.0469,0.0706,0.0994,0.3235,1.9332
180,200,20,26,0.1771,0.2526,0.3661,0.3996,0.5116,0.4737,0.5232,0.5057,0.4373,0.4856,0.5948,0.2113,0.4664,0.5473,0.5819,0.4203,0.3768,0.0531,0.0927,0.0970,0.3562,1.5018
180,200,28,34,0.2659,0.2925,0.4114,0.4318,0.5546,0.5197,0.7409,0.6812,0.4861,0.5349,0.6646,0.2697,0.7036,0.8133,0.8006,0.6230,0.5606,0.0672,0.1299,0.1167,1.1119,1.7297
